SaleID,DateKey,CustomerKey,ProductKey,StoreKey,Quantity,UnitListPrice,DiscountPct,UnitSalePrice,TotalSale,TotalCost,Profit,MarginPct,PaymentMethod,SaleChannel,ReturnFlag
VTA-0000001,20220101,44,32,16,1,4.17,30.0,2.92,2.92,3.08,-0.16,-5.48,Transferencia,Telefono,No
VTA-0000002,20220101,85,39,3,1,25.39,0.0,25.39,25.39,17.87,7.52,29.62,OXXO Pay,Online,No
VTA-0000003,20220101,99,7,9,2,843.52,5.0,801.34,1602.68,1191.02,411.66,25.69,PayPal,App Movil,No
VTA-0000004,20220102,95,13,19,2,128.52,30.0,89.96,179.92,155.62,24.3,13.51,PayPal,Telefono,No
VTA-0000005,20220102,47,30,3,2,547.47,30.0,383.23,766.46,728.14,38.32,5.0,Transferencia,Online,Si
VTA-0000006,20220102,156,34,15,4,4.77,0.0,4.77,19.08,15.8,3.28,17.19,Efectivo,Tienda Fisica,No
VTA-0000007,20220103,101,14,8,1,142.59,25.0,106.94,106.94,89.6,17.34,16.21,PayPal,App Movil,Si
VTA-0000008,20220103,8,24,9,4,101.94,10.0,91.75,367.0,269.08,97.92,26.68,Tarjeta Credito,Online,No
VTA-0000009,20220103,159,42,7,1,400.59,10.0,360.53,360.53,266.21,94.32,26.16,Tarjeta Debito,Online,No
VTA-0000010,20220103,74,29,7,1,82.71,0.0,82.71,82.71,60.64,22.07,26.68,Transferencia,App Movil,No
VTA-0000011,20220103,12,49,8,2,315.78,10.0,284.2,568.4,438.58,129.82,22.84,Tarjeta Credito,Online,No
VTA-0000012,20220103,120,32,13,2,4.17,10.0,3.75,7.5,6.16,1.34,17.87,Tarjeta Debito,App Movil,No
VTA-0000013,20220104,180,50,3,1,210.24,0.0,210.24,210.24,134.84,75.4,35.86,Tarjeta Debito,App Movil,No
VTA-0000014,20220104,89,16,8,3,62.99,0.0,62.99,188.97,119.28,69.69,36.88,Tarjeta Debito,App Movil,No
VTA-0000015,20220104,91,49,5,1,315.78,0.0,315.78,315.78,219.29,96.49,30.56,OXXO Pay,App Movil,No
VTA-0000016,20220104,52,47,3,2,188.85,20.0,151.08,302.16,231.84,70.32,23.27,Transferencia,Online,Si
VTA-0000017,20220104,90,38,17,2,15.02,0.0,15.02,30.04,21.2,8.84,29.43,Transferencia,Telefono,No
VTA-0000018,20220105,101,41,10,1,348.99,0.0,348.99,348.99,244.08,104.91,30.06,Transferencia,Telefono,No
VTA-0000019,20220105,48,26,12,2,129.39,30.0,90.57,181.14,165.62,15.52,8.57,Transferencia,App Movil,No
VTA-0000020,20220105,47,31,7,3,6.83,0.0,6.83,20.49,15.51,4.98,24.3,Tarjeta Debito,Online,No
VTA-0000021,20220106,94,1,1,1,330.81,10.0,297.73,297.73,229.0,68.73,23.08,PayPal,Telefono,No
VTA-0000022,20220106,196,48,4,1,204.22,30.0,142.95,142.95,134.66,8.29,5.8,Tarjeta Debito,Telefono,No
VTA-0000023,20220106,111,16,8,3,62.99,0.0,62.99,188.97,119.28,69.69,36.88,Transferencia,Tienda Fisica,No
VTA-0000024,20220106,153,6,16,1,356.83,0.0,356.83,356.83,254.34,102.49,28.72,PayPal,Online,No
VTA-0000025,20220106,34,16,6,1,62.99,15.0,53.54,53.54,39.76,13.78,25.74,Tarjeta Debito,Telefono,No
VTA-0000026,20220107,27,18,16,1,137.89,0.0,137.89,137.89,83.81,54.08,39.22,Tarjeta Debito,Tienda Fisica,No
VTA-0000027,20220107,53,46,20,1,480.87,0.0,480.87,480.87,335.5,145.37,30.23,Tarjeta Credito,Tienda Fisica,No
VTA-0000028,20220107,48,16,1,2,62.99,0.0,62.99,125.98,79.52,46.46,36.88,PayPal,Tienda Fisica,Si
VTA-0000029,20220107,96,13,8,2,128.52,10.0,115.67,231.34,155.62,75.72,32.73,Tarjeta Debito,Tienda Fisica,No
VTA-0000030,20220107,73,35,13,1,22.04,10.0,19.84,19.84,16.25,3.59,18.09,Transferencia,App Movil,No
VTA-0000031,20220107,22,26,15,1,129.39,0.0,129.39,129.39,82.81,46.58,36.0,Efectivo,Tienda Fisica,No
VTA-0000032,20220107,124,44,17,2,189.76,0.0,189.76,379.52,248.46,131.06,34.53,OXXO Pay,Tienda Fisica,No
VTA-0000033,20220107,175,13,18,1,128.52,0.0,128.52,128.52,77.81,50.71,39.46,Tarjeta Credito,Online,No
VTA-0000034,20220108,47,40,11,1,14.65,5.0,13.92,13.92,10.55,3.37,24.21,Tarjeta Credito,App Movil,Si
VTA-0000035,20220108,166,24,7,2,101.94,30.0,71.36,142.72,134.54,8.18,5.73,PayPal,Online,No
VTA-0000036,20220108,13,36,17,1,7.47,10.0,6.72,6.72,5.99,0.73,10.86,Tarjeta Credito,Online,No
VTA-0000037,20220108,178,42,1,1,400.59,10.0,360.53,360.53,266.21,94.32,26.16,Tarjeta Credito,Tienda Fisica,No
VTA-0000038,20220108,101,21,14,1,457.01,0.0,457.01,457.01,324.16,132.85,29.07,Efectivo,Telefono,No
VTA-0000039,20220108,181,45,4,1,144.66,0.0,144.66,144.66,88.08,56.58,39.11,OXXO Pay,Telefono,No
VTA-0000040,20220108,25,46,5,1,480.87,15.0,408.74,408.74,335.5,73.24,17.92,OXXO Pay,Online,No
VTA-0000041,20220109,112,43,17,2,334.93,5.0,318.18,636.36,435.36,201.0,31.59,Efectivo,Tienda Fisica,Si
VTA-0000042,20220109,44,8,18,2,554.6,0.0,554.6,1109.2,800.1,309.1,27.87,Efectivo,Online,Si
VTA-0000043,20220109,140,30,18,1,547.47,20.0,437.98,437.98,364.07,73.91,16.88,Tarjeta Credito,Telefono,No
VTA-0000044,20220109,155,38,3,2,15.02,0.0,15.02,30.04,21.2,8.84,29.43,OXXO Pay,App Movil,No
VTA-0000045,20220109,65,4,15,1,727.14,20.0,581.71,581.71,525.94,55.77,9.59,Tarjeta Debito,Telefono,No
VTA-0000046,20220109,178,42,18,1,400.59,0.0,400.59,400.59,266.21,134.38,33.55,Tarjeta Debito,Online,No
VTA-0000047,20220110,19,6,12,1,356.83,30.0,249.78,249.78,254.34,-4.56,-1.83,Transferencia,Online,Si
VTA-0000048,20220110,88,36,18,2,7.47,0.0,7.47,14.94,11.98,2.96,19.81,Tarjeta Debito,Online,No
VTA-0000049,20220110,143,7,10,3,843.52,20.0,674.82,2024.46,1786.53,237.93,11.75,Efectivo,Online,No
