StoreKey,StoreID,Direccion,Latitud,Longitud
1,S001,"Centro, Cuauhtémoc, Ciudad de México, México",19.432678,-99.134209
2,S002,"Polanco, Ciudad de México, México",19.433001,-99.199997
3,S003,"Santa Fe, Álvaro Obregón, Ciudad de México, México",19.432678,-99.134209
4,S004,"Monterrey, Nuevo León, México",25.664698,-100.31089
5,S005,"Cumbres Monterrey, Calle Chabacano, Cadereyta Jiménez, Nuevo León, México",25.590549,-100.001465
6,S006,"Guadalajara Centro, 44100, JAL, México",20.670799,-103.344258
7,S007,"Zapopan, Jalisco, México",20.760139,-103.384293
8,S008,"Puebla de Zaragoza, Puebla, México",19.033001,-98.182999
9,S009,"Tijuana, Baja California, México",32.52874,-116.966431
10,S010,"Juárez, Chihuahua, México",31.735447,-106.483032
11,S011,"Mérida, Yucatán, México",20.967775,-89.62426
12,S012,"Cancún, Quintana Roo, México",21.190229,-86.82003
13,S013,"Veracruz, Veracruz de Ignacio de la Llave, México",19.190281,-96.153328
14,S014,"Querétaro Arteaga, México",20.855104,-99.84581
15,S015,"Saltillo, Coahuila de Zaragoza, México",25.421665,-100.999718
16,S016,"Pachuca de Soto, Hidalgo, México",20.126503,-98.730347
17,S017,"Zapotlán de Juárez, Hidalgo, México",19.974459,-98.862061
18,S018,"Toluca de Lerdo, México, México",19.292116,-99.655785
19,S019,"Guadalajara Centro, 44100, JAL, México",20.674934,-103.347412
20,S020,"Tulum, Quintana Roo, México",20.208672,-87.467827
